Comment Date,Comment,Likes,Author,Replies,Label,Unnamed: 0
2024-05-01T01:08:27Z,"لماذا قصيتو المتقاعدين الذين لايتجاوز معاشهم 2000 درهم
حسبنا الله ونعم الوكيل في كل مسؤول ظالم",0.0,@user-ox8oe1vh4n,0.0,negative,
2024-04-30T22:54:03Z,الشيء الايجابي هو انه صايب ديك السنة اللي مهرسة,0.0,@pikalati,0.0,positive,
2024-04-26T06:18:38Z,اللهم صل وسلم وبارك على سيدنا محمد وعلى اله وصحبه اجمعين رضينا بالله ربا وبالاسلام دينا وبمحمد صلى الله عليه وسلم نبيا و رسولا ♥️🇲🇦🥇♥️💌🇲🇦,1.0,@user-df5np7ts3t,0.0,positive,
2024-04-26T06:18:04Z,المغرب يسير في تقدم وازدهار ونجاح كبير بفضل الله تعالى وبركاته عز وجل ثم بفضل السياسة الحكيمة لصاحب الجلالة الملك محمد السادس نصره الله أفضل ملك في العالم 🇲🇦 الله الوطن الملك 🇲🇦🥇💌🇲🇦,1.0,@user-df5np7ts3t,0.0,positive,
2024-04-25T14:58:32Z,"من نيتكم 😂😂😂😂😂
هادي هي اخر مرة تشدو فيها الحكومة",1.0,@user-km5cp4tf9d,0.0,neutre,
2024-04-25T14:33:21Z,محد حكومة بنكيران كنتو نازلين عليهم بالكوميديا ودابا عاطينها لتطباااال لك الله ياوطني,0.0,@Faical-elaalim,0.0,negative,
2024-04-25T13:48:03Z,حكومة،،،،،عزيز،،،اخنوش،،،،حكوم،،،،ناجحة،،،،،،،،، بامتاز،،،،،،بكل،،،مكوناتها،،لا،،،يعلى،،عليها,0.0,@bahijaboukhari1028,0.0,positive,
2024-04-25T13:45:35Z,حكومة،،،ناجحة،،،،بامتياز،،،وبكل،،،،،،،،،،،،،،،،،،،،،،،،،،،مكوناتها،،،لا،،،يعلى،،،عليها,0.0,@bahijaboukhari1028,0.0,positive,
2024-04-25T08:22:16Z,لذا نستنتج أنه لا يمكن الإصلاح من داخل المؤسسات.,0.0,@redazaarour935,0.0,negative,
2024-04-25T07:42:48Z,الاحصائيات الوطنية والدولية خير دليل على حصيلة هذه الحكومة اما فيما يتعلق بالشق الالعن وهو محاولة علمنة المملكة المغربية فهذه هديتي،لكل  من يصدق كذبة علمانية الولايات المتحدة او اسرائيل او الغرب وكل من يصدق هاته الامبرياليات لما تتحدت عن افتقار الدين للحداتة وضرورة التخلي عنه https://youtu.be/F1o6NbMYpBI?si=u_eubSbTf-RTkUUz,0.0,@Tazikenza1,0.0,negative,
2024-04-25T06:13:30Z,الشعب يريد زيادة اللون الأبيض في العالم المغربي حفظكم الله رب العرش الكريم. 360 لمن يريد معرفة معنها يقرى كتاب الله سبحانه.,0.0,@JaouadChoukri,0.0,positive,
2024-04-25T06:09:53Z,يهتدون بالنجم مشي محمد النجم سي مربوح ههههه حفظكم الله ودمتم في خدمة هذا الوطن المدروس من طرف جينيرال الجينيرات الذي إستواااااا فوق  عرشه الكبير فوق الماء. والسلام أعليكم.,0.0,@JaouadChoukri,0.0,,
2024-04-25T00:36:38Z,التفاهة 😂,0.0,@mustaphaben5588,0.0,neutre,
2024-04-24T22:40:25Z,حكومة فاشلة بكل المقاييس ...برلمان لصوص الأموال العامة وتجار الفجور و الطغاة الجبابرة و ابناء أوى اللقطاء...,0.0,@ahmedafrit345,0.0,negative,
2024-05-02T19:55:35Z,سؤال لي عندي هوا فاش كتخرج على لمغرب وتقرا بحال مثلا فرنسا ولا المانيا ولا تيوان كيفك واش لوالدين هوما لي كيسيفطو ليك فلوس باش تعيش لاكل وسكن و دكشي لاخر ولا راه يمكن ليك تخدم شي خدمة لي متديش ليك لوقت باش تقرا وفي نفس لوقت متكونش بحال لفلاحا ولا لخدامي لي قاصحين وكيوسخو يعني خدمة مزيانة نتمنى تفهميني وشكرا ❤,0.0,@aminamin0000,0.0,neutre,
2024-05-01T19:34:06Z,ماشاء الله,0.0,@user-iu2pf8ic4q,0.0,positive,
2024-05-01T12:00:52Z,واو ❤❤,0.0,@aliaze1553,0.0,positive,
2024-04-30T09:50:41Z,الصراحة فاش كنشوف مغاربة بحال هكا ، ناجحيين ومتواضعين وظريفيين كنفرح و كنتشجع وكنقول فخاطري حتى أنا غنطفرو شي نهار ، شكرااا بزااف والله يوفقك لما هو أجمل,6.0,@amirboss549,1.0,positive,
2024-04-24T15:19:01Z,همال صهيب تاع دالي براهيم تعرفيه ختي,0.0,@AntoniOline,0.0,neutre,
2024-04-22T13:36:25Z,ممكن تهدري لينا على التجربة ديالك فsm,0.0,@Express-gk3oe,0.0,neutre,
2024-04-21T18:31:21Z,يوتيوب فين كنتي مغبر علينا هاد الكونتنت عامين و هو كاين  و انا مفراسيش، خدمة نقية و شكرا على المعلومات لي قدمتي.,14.0,@soufianeelibrahimi,2.0,positive,
2023-05-24T03:14:21Z,الحمد لله رب العالمين واللهم صل وسلم وبارك على نبينا ورسولنا وشفيعنا محمد,0.0,@Motivation_37_,0.0,neutre,
2022-04-05T12:51:40Z,الصراحة سخاء كبير انو يعطيك انسان خلاصة التجربة نتاعو مع الدراسة للافادة والاستفادة خصوصا بالنسبة لوليداتنا,22.0,@user-up5ez3fy9i,0.0,positive,
2022-04-05T12:46:44Z,بالتوفيق بنت الزميلة الغالية ذة سعاد,2.0,@user-up5ez3fy9i,0.0,positive,
2022-04-04T01:09:39Z,عافاك بشحال شديتي باك سيونص ماط باش تقبلتي فلي كلاس❤️❤️و اشنو بان ليك ف ENSIAS لي فالرباط واش بحالها بحال المدارس ففرنسا ولا كاين فرق❤️,3.0,@user-cw5yw2xy2u,6.0,neutre,
2022-04-04T01:08:30Z,شكرااااا على الفيديو والله قليل فين تلقا مغاربة فالضومين لي بغيتي تتبع و كيجاوبو على الأسئلة ❤️❤️❤️❤️❤️,3.0,@user-cw5yw2xy2u,0.0,positive,
2024-05-06T22:01:14Z,كداب كداب كداب,0.0,@alikachkach4634,0.0,negative,
2024-05-06T22:00:22Z,كداب,0.0,@alikachkach4634,0.0,negative,
2024-05-06T21:58:20Z,باقي تتحل فمك,0.0,@alikachkach4634,0.0,negative,
2024-05-06T21:54:58Z,متى ينتشر؟,0.0,@ZainabAjmi,0.0,neutre,
2024-05-06T20:58:50Z,الثاني بعد  اسبوع اصبت بحساسية البرد والسعال وبعد سنة ولات عندي الضيقة  لحد الان اعاني لاصحة لافلوس,0.0,@user-us8bh3ek6j,0.0,neutre,
2024-05-06T19:54:07Z,شكون يتيقو هذا. اصلا فالمغرب وخا تموت باللقاح يكذبوك,0.0,@touslemende,0.0,negative,
2024-05-06T19:25:35Z,وزير قلة الصحة، زعما نتا خير من الشركة المصنعة واعتارفات بأخطائها، لا حول ولا قوة الا بالله، الحمد لله انني متبعتكومش ومضربت لا استرازينيكا ولا استرا خيزيكا.,0.0,@azdch8452,0.0,negative,
2024-05-06T18:31:06Z,المغربي هو الكنس الوحيد اللي ما تفهوش والله لا فهمتيه في بدايات التلقيح الكل كان يهرول لمراكز التلقيح ،،ودبا كلشي كيتشطى دبا هزنا الما اللي اعطى الله اعطاااه ابغتو التعويضااات  اوالله لخديتوةش ريااااال،وها انا فين قسمت لكم كمدوها وسكتو .,0.0,@kamalzoro,0.0,negative,
2024-05-06T16:41:00Z,لي صاوبوه علنو بلي عندو موضاعفات ، كان خص يدارو تحاليل لناس قبل ، حول إمكانية حدوت مضاعفات لي تقد تاخد لوقت باش تبان,0.0,@oussamarmich,0.0,neutre,
2024-05-06T16:40:19Z,الله ياخذ الحق الله ياخذ الحق,0.0,@mohemedhachem,0.0,negative,
2024-05-06T16:04:26Z,هاد الوزير كداب,0.0,@abdelatifbougar2821,0.0,negative,
2024-05-06T15:45:44Z,كفاكم تضليلا لقد إعترفت الشركة,0.0,@user-rm7sh1tm5n,0.0,negative,
2024-05-06T15:34:41Z,عملت ثلاث جرعات و ماندماناش,0.0,@meryem1513,1.0,neutre,
2024-05-06T15:34:32Z,سير فتح تحقيق في سبب ارتفاع الوفيات هذه السنة و السنة السابقة و سبب الجلطات و عدد كبير من ناس دخلوا للمستشفى من اجل عمليات القلب او الشرايين و عدد منهم انسداد العروق خصوصا النا كبار السن. و قليل الى دار العملية و نجحت ليه وهاد الشي بسبابك و بسباب حكومتك لكننا لسنا في دولة حقوق,0.0,@mobileroyalenft7358,1.0,negative,
2024-05-06T13:35:22Z,صناع التلقيح اعترفوبالاعراض وبعض الدول الناس فتحو دعاوي اما احنا باقي معطلين,0.0,@AbdAllah-ed8gp,0.0,neutre,
2024-05-06T13:03:17Z,😂😂😂😂😂  عالم تيعنرف بخظورة لقاح الا هاد بشر سبحان الله,1.0,@simo-gr1qx,0.0,negative,
2024-05-06T12:08:01Z,اللقاح كايتعطى لكل شي  بدون اخد المعلومات عند  الملقح قبل اخد السم الهاري,0.0,@almasislamalmas9603,0.0,,
2024-05-06T12:05:05Z,وماذا عن الناس التي أصيبت بأمراض عويصة  والي ماتت ووو..... الله ياخد فيك الحق شركة استزينكا تعترف وانت باقي كدخل في الهضرة وتخرج فيها  واغير سكت راك تفضحتي  عند الله الله تجتمع الخصوم,0.0,@almasislamalmas9603,0.0,negative,
2024-05-06T10:35:59Z,الله ياخذ الحق في كل مسؤول يتهاون في التعامل مع صحة الشعب,0.0,@rzkmed6489,0.0,negative,
2024-05-06T10:24:04Z,لماذا الكذب الشركة اعترفت وانت تكذب من يتحمل المسؤولية على المدى الطويل وستظهر حالات جديدة من موت الفجأة .,0.0,@mhamedezzaher3063,0.0,negative,
2024-05-06T10:03:53Z,متقاعد عمري 67 سنة اصبت بجلطة دماغية وقد ارغمت  على استعمال االتلقيح الثلاثي اصبت بالبهاق اولا ثم جلطة اثرت على صحتي ونظري انا الآن استعمل دواء الضغط وجريان الدم وقد  اصبح عندي ملف في مستشفى ابن رشد الذي ازوره بين الفينة والفينة  وقد كنت في صحة جيدة قبل كوفيد وبعدها   لأني كنت امارس الرياضة منذ صغري حتى سن التقاعد وبعد اخذ اللقاح بدأت صحتي تتدهور  ماذا علي ان افعل هل اقاضي وزارة الصحة ام الشركة التي صنعت الدواء.,0.0,@mhamedezzaher3063,0.0,neutre,
2024-05-06T09:07:59Z,بلا مانهضر على كثرة الوفيات الله ياخذ الحق,0.0,@YasminaCherif-ge8ux,0.0,negative,
2024-05-06T09:06:51Z,بالعكس عندو آثار على بزفاف دياب الناس,1.0,@YasminaCherif-ge8ux,0.0,neutre,
2024-05-06T08:48:06Z,شركة استرازينيكا اعترفت ان لقاحها يمكن ان تنتج عنه مضاعفات علي صحة الانسان ووزير الصحة ديالنا ينفي .غريب !!!!!.كأنه يملك اسهم فيها .,1.0,@MohamedMohamed-lx9md,0.0,negative,
2024-05-06T08:46:39Z,😅شكوى بك الله اقسم يا الله إلى كنت كنت  كنت كنراقب صحتى كل سنة كان الطبيب كان كيتفاجء في القلب ديالي صحة جيدة حتي خديت اللقاح دهورات الصحة ديالي انا وجوزتي,0.0,@fatifleur5541,0.0,negative,
2024-05-06T08:36:51Z,بسم الله الرحمان الرحيم فكيف اذا جمعناهم ليوم لاريب ووفيت كل نفس ماكسبت وهم لايظلمون,1.0,@Jhgtb,0.0,,
2024-05-06T08:08:16Z,مافيه مايعطي تعويضات للمتضررين مسكين اجي تشوف صاحبي مابقاش كيسمع مزيان و فقد حاسة الشم,1.0,@badrsalkani9809,0.0,negative,
2024-05-06T08:03:00Z,صانع اللقاح وصانع الكدب كان عليكم. تؤخدوا. صور وانتم. تتلقحون كلكم امام الجميع . لقد  ماتو من بعد اللقاح  امام اعيننا الجلطات   والضغط  حدث ولا حرج  لمن الشكوا هل من ادن صاغية.,1.0,@bob3aloabonowar24,0.0,negative,
